Date,Close,Open,Low,High,Volume
17/03/2011,160.97,165.91,160.78,166.3,"6,472,880"
18/03/2011,161.82,161.19,160.59,163.54,"7,449,926"
21/03/2011,164.53,163.37,161.72,165.79,"4,055,811"
22/03/2011,162.60,164.07,162.25,164.44,"3,612,926"
23/03/2011,165.32,162.3,160.82,166.26,"4,723,630"
24/03/2011,171.10,168.21,167.36,172,"6,286,823"
25/03/2011,170.98,171.64,170.3,173.49,"4,294,302"
28/03/2011,169.35,171.8,169.25,172.5,"3,400,936"
29/03/2011,174.62,170.73,170.07,174.84,"4,887,443"
30/03/2011,179.42,177.78,177.66,181.16,"6,860,586"
31/03/2011,180.13,179.31,178.5,181.57,"4,828,345"
01/04/2011,180.13,181.58,178.59,183.25,"5,686,427"
04/04/2011,182.94,180.89,180.69,183.61,"4,189,692"
05/04/2011,185.29,182.105,181.8,186.36,"5,570,058"
06/04/2011,182.76,186.15,181.12,188.27,"5,431,265"
07/04/2011,184.91,182.78,181.76,185.17,"4,565,547"
08/04/2011,184.71,185.26,182.78,186.22,"3,727,206"
11/04/2011,184.04,184.86,181.85,186.49,"3,297,828"
12/04/2011,180.48,183.06,179.42,184.59,"5,340,273"
13/04/2011,182.29,180.83,179.8,182.88,"4,228,310"
14/04/2011,181.82,181.39,179.36,182.08,"3,589,689"
15/04/2011,180.01,181,179.0196,181.78,"4,272,899"
18/04/2011,178.34,178.38,175.37,178.91,"4,617,288"
19/04/2011,178.82,178.35,176.6,179.47,"2,647,483"
20/04/2011,183.87,181.62,181.59,185,"4,068,097"
21/04/2011,185.89,184.56,183.046,185.97,"3,351,735"
25/04/2011,185.42,185.65,183.77,186.35,"3,439,714"
26/04/2011,182.30,186.27,180.738,186.42,"11,240,571"
27/04/2011,196.63,183.2,182.75,197.8,"23,622,949"
28/04/2011,195.07,195.96,192.27,196.79,"7,277,475"
29/04/2011,195.81,194.38,193.78,196.59,"6,640,873"
02/05/2011,201.19,196.57,196.18,203.42,"9,399,303"
03/05/2011,198.45,201,196.69,202.59,"6,053,289"
04/05/2011,199.97,198.25,195.37,201.86,"6,551,399"
05/05/2011,197.11,198.66,196.12,201,"4,638,222"
06/05/2011,197.60,199.1,196.56,199.56,"4,017,937"
09/05/2011,200.80,198.34,196.78,202.36,"5,826,058"
10/05/2011,203.94,201.94,201.56,205.29,"5,891,767"
11/05/2011,204.38,203.12,202.25,205.5,"4,813,424"
12/05/2011,206.07,204.22,200.62,206.1852,"4,820,690"
13/05/2011,202.56,205.7,202.36,206.39,"4,126,181"
16/05/2011,192.51,200.54,191.37,200.9,"9,389,688"
17/05/2011,194.81,191.8166,191.76,195.98,"7,077,636"
18/05/2011,197.09,194.13,193.25,198.283,"4,958,993"
19/05/2011,198.81,198.33,197.55,199.95,"3,702,622"
20/05/2011,198.65,197.95,197.24,199.8,"3,382,021"
23/05/2011,196.22,195.56,192.02,197.29,"4,230,523"
24/05/2011,193.27,197,193,197,"2,972,667"
25/05/2011,192.26,193.57,191.14,194.35,"4,661,207"
26/05/2011,195.00,191.24,190.88,196.45,"4,075,276"
27/05/2011,194.13,194.76,193.5,196.12,"2,353,956"
31/05/2011,196.69,195.94,195.03,198.44,"3,412,945"
01/06/2011,192.40,196.06,192.05,197.26,"3,449,408"
02/06/2011,193.65,192.28,190.56,194.44,"3,045,560"
03/06/2011,188.32,191.23,187.62,193.21,"4,975,621"
06/06/2011,185.69,188.01,185.18,189.85,"3,713,215"
07/06/2011,187.55,185.72,185.52,190.63,"4,867,038"
08/06/2011,188.05,187.4499,186.32,189.81,"3,717,299"
09/06/2011,189.68,189.74,185.71,191.76,"4,187,248"
10/06/2011,186.53,189.25,186.28,190.77,"3,763,319"
13/06/2011,186.29,186.81,184.86,189.31,"3,870,110"
14/06/2011,189.96,188.99,187.07,190.72,"3,960,596"
15/06/2011,185.98,188.04,185.3,192.45,"6,318,168"
16/06/2011,183.65,185.74,181.59,187,"6,032,134"
17/06/2011,186.37,186.51,184.64,187.39,"6,328,369"
20/06/2011,187.72,185.96,185.57,188.852,"2,834,166"
21/06/2011,194.23,188.3,187.12,195,"4,183,501"
22/06/2011,191.63,193.96,191.32,195.2,"3,134,854"
23/06/2011,194.16,189.5,188.3,194.46,"4,615,173"
24/06/2011,192.55,193.88,191.35,194.92,"3,616,647"
27/06/2011,201.25,194.5,194.03,202.58,"6,101,849"
28/06/2011,202.35,201.92,200.6,202.88,"3,825,988"
29/06/2011,204.18,202.67,201.03,206.25,"4,609,723"
30/06/2011,204.49,200.78,200.5,205.2,"4,451,250"
01/07/2011,209.49,205.55,203.61,210.27,"4,012,454"
05/07/2011,213.19,208.76,208.73,214.45,"3,586,281"
06/07/2011,214.19,212.12,211.0101,214.4,"2,607,964"
07/07/2011,216.74,215.09,215.09,217.8,"3,145,960"
08/07/2011,218.28,214.3,213.25,218.32,"3,708,086"
11/07/2011,212.55,216.74,211,217.5,"4,034,763"
12/07/2011,211.23,214.64,211.12,215.65,"3,987,227"
13/07/2011,213.50,214.7,212.14,216.83,"4,231,702"
14/07/2011,210.38,213.58,209.38,215.91,"3,904,926"
15/07/2011,212.87,213.08,209.29,214.53,"4,075,383"
18/07/2011,211.53,212.53,208.29,213.39,"2,900,565"
19/07/2011,218.06,213.77,213.77,218.4,"4,438,956"
20/07/2011,215.55,220.05,214.41,220.2,"3,375,432"
21/07/2011,213.21,216.74,211.07,217.09,"4,546,082"
22/07/2011,216.52,213.86,211.11,217.949,"3,599,944"
25/07/2011,213.49,215.49,213,216.08,"3,346,669"
26/07/2011,214.18,214.99,210.35,215.6,"9,863,579"
27/07/2011,222.52,224.39,219.62,227.2,"12,956,323"
28/07/2011,223.90,223.27,220.23,225.95,"5,355,607"
29/07/2011,222.52,221.29,219.51,225.75,"5,170,390"
01/08/2011,221.32,225,217.66,227.45,"5,792,926"
02/08/2011,211.70,220.32,211.3,222.43,"6,588,846"
03/08/2011,209.96,212.97,205.54,214.83,"8,199,706"
04/08/2011,201.48,206.73,201.45,208,"6,584,935"
05/08/2011,202.70,204.67,194.84,207.32,"10,024,461"
08/08/2011,193.70,196.4,190.05,200.39,"10,431,184"
09/08/2011,205.09,196.7,190.46,205.09,"10,497,215"
10/08/2011,194.13,200.76,193.6,202.4,"8,757,585"
11/08/2011,198.36,197.0088,191.36,200.85,"7,404,618"
12/08/2011,202.30,200.28,197.21,204.56,"5,620,580"
15/08/2011,202.95,202.06,198.32,205.28,"4,785,864"
16/08/2011,197.68,201.14,194.75,201.39,"5,209,051"
17/08/2011,195.93,198.53,193.74,199.6,"3,991,541"
18/08/2011,182.52,191.21,179.72,191.34,"8,280,385"
19/08/2011,178.93,180.29,177.55,190,"7,248,437"
22/08/2011,177.54,182.83,177.1,184.2,"5,314,812"
23/08/2011,193.55,178.92,178.52,194.84,"7,352,930"
24/08/2011,193.73,193.89,190.17,196.31,"6,252,998"
25/08/2011,192.03,194.41,191.07,196.99,"3,760,329"
