Date,Close,Open,Low,High,Volume
17/03/2011,18.48,18.52,18.32,18.87,83587563.00
18/03/2011,18.50,18.88,18.48,18.98,80025569.00
21/03/2011,18.96,18.92,18.79,19.03,53032950.00
22/03/2011,18.73,19.00,18.72,19.00,46578907.00
23/03/2011,18.77,18.70,18.50,18.80,44288216.00
24/03/2011,19.01,18.92,18.73,19.03,43829124.00
25/03/2011,18.98,19.08,18.93,19.16,40089875.00
28/03/2011,18.98,19.04,18.90,19.11,35462325.00
29/03/2011,19.09,18.90,18.77,19.14,36047799.00
30/03/2011,19.33,19.21,19.16,19.49,46982663.00
31/03/2011,19.27,19.30,19.19,19.37,40971918.00
01/04/2011,19.55,19.36,19.34,19.71,48432557.00
04/04/2011,19.73,19.93,19.65,19.95,45419960.00
05/04/2011,19.54,19.69,19.51,19.83,41616511.00
06/04/2011,19.75,19.77,19.58,19.82,50884417.00
07/04/2011,19.56,19.70,19.41,19.71,52159681.00
08/04/2011,19.41,19.69,19.29,19.72,48538067.00
11/04/2011,19.40,19.46,19.30,19.58,29311193.00
12/04/2011,19.23,19.24,19.03,19.38,48789643.00
13/04/2011,19.17,19.27,19.10,19.33,40061071.00
14/04/2011,19.23,19.08,18.84,19.30,44006005.00
15/04/2011,19.26,19.27,19.22,19.51,50148014.00
18/04/2011,19.21,19.00,18.75,19.23,63659660.00
19/04/2011,19.48,19.22,19.16,19.55,63535034.00
20/04/2011,19.61,19.72,19.49,19.74,55640378.00
21/04/2011,19.18,19.97,18.97,19.99,121716030.00
25/04/2011,19.12,19.36,19.12,19.37,55824252.00
26/04/2011,19.32,19.26,19.23,19.54,52475938.00
27/04/2011,19.85,19.41,19.37,20.04,88366249.00
28/04/2011,19.80,19.89,19.68,19.97,42122548.00
29/04/2011,19.66,19.92,19.61,19.94,41510013.00
02/05/2011,19.69,19.90,19.64,19.91,36148889.00
03/05/2011,19.84,19.57,19.56,19.85,40083007.00
04/05/2011,19.48,19.76,19.37,19.86,57941680.00
05/05/2011,19.13,19.45,19.04,19.51,57317849.00
06/05/2011,19.23,19.41,19.18,19.47,43688628.00
09/05/2011,19.29,19.20,19.13,19.33,38152473.00
10/05/2011,19.51,19.36,19.34,19.63,38194202.00
