Date,Close,Open,Low,High,Volume
17/03/2011,44.56,44.46,43.40,44.61,46752306.00
18/03/2011,45.74,45.25,44.75,46.18,77445705.00
21/03/2011,45.63,46.28,45.32,46.32,28998804.00
22/03/2011,45.47,45.66,45.35,45.71,19773155.00
23/03/2011,45.60,45.29,44.77,45.69,26695103.00
24/03/2011,45.73,45.70,45.09,45.84,21763428.00
25/03/2011,45.86,45.70,45.67,46.38,20728953.00
28/03/2011,45.96,46.10,45.95,46.50,19047618.00
29/03/2011,46.02,45.83,45.51,46.04,17916404.00
30/03/2011,46.45,46.53,46.22,46.85,26850725.00
31/03/2011,46.10,46.05,45.96,46.34,23491762.00
01/04/2011,46.35,46.55,46.18,46.88,25395781.00
04/04/2011,46.34,46.12,46.05,46.52,15710209.00
05/04/2011,46.58,46.17,46.05,46.77,21199013.00
06/04/2011,47.64,46.81,46.63,47.73,31212869.00
07/04/2011,47.40,47.64,46.96,47.80,29988334.00
08/04/2011,46.84,47.52,46.63,47.66,23827177.00
11/04/2011,46.86,47.00,46.75,47.27,25643410.00
12/04/2011,46.64,46.55,46.25,47.11,27275621.00
13/04/2011,46.25,47.24,45.88,47.37,55395689.00
14/04/2011,44.97,45.68,44.91,45.75,45218921.00
15/04/2011,44.89,45.24,44.83,45.37,32483879.00
18/04/2011,43.96,44.27,43.53,44.35,50974276.00
19/04/2011,44.65,44.26,43.76,44.71,26720104.00
20/04/2011,44.56,44.90,43.94,44.97,35566808.00
21/04/2011,44.68,44.68,44.12,44.84,24386589.00
25/04/2011,44.61,44.65,44.38,45.02,17360519.00
26/04/2011,45.12,44.85,44.61,45.43,25893126.00
27/04/2011,45.50,45.30,45.05,45.63,20852690.00
28/04/2011,45.85,45.61,45.41,45.93,19862755.00
29/04/2011,45.63,45.81,45.40,46.02,23363095.00
02/05/2011,45.18,45.94,45.11,45.99,25913966.00
03/05/2011,45.92,44.95,44.86,46.07,30039119.00
04/05/2011,45.50,45.98,45.28,46.04,22739271.00
05/05/2011,45.17,45.24,44.99,45.71,26165514.00
06/05/2011,45.04,45.47,44.76,45.71,26356067.00
09/05/2011,44.96,44.75,44.32,45.11,22475423.00
10/05/2011,45.16,45.06,44.98,45.50,20541125.00
11/05/2011,44.23,45.02,44.11,45.04,31528851.00
12/05/2011,44.09,44.10,43.55,44.33,29589929.00
13/05/2011,43.15,44.06,42.98,44.10,32878376.00
16/05/2011,42.88,42.97,42.72,43.48,34907303.00
17/05/2011,43.81,42.68,42.65,44.02,36333561.00
18/05/2011,44.08,43.72,43.41,44.24,24382933.00
19/05/2011,44.00,44.32,43.75,44.35,19539524.00
20/05/2011,43.13,43.83,43.09,44.09,29951525.00
23/05/2011,42.55,42.40,42.30,42.90,32316785.00
24/05/2011,42.34,42.77,41.69,42.92,39341319.00
25/05/2011,42.27,42.11,42.10,42.75,26510052.00
26/05/2011,42.45,42.12,42.10,42.59,21660730.00
27/05/2011,42.79,42.70,42.54,43.15,24748707.00
31/05/2011,43.24,43.24,42.77,43.38,28746221.00
01/06/2011,41.76,42.87,41.73,42.99,38634790.00
02/06/2011,41.61,41.93,40.83,42.20,45969424.00
03/06/2011,41.57,41.09,41.02,42.25,31837491.00
06/06/2011,40.53,41.10,40.37,41.24,40895852.00
07/06/2011,40.72,40.92,40.65,41.31,36342388.00
08/06/2011,40.39,40.58,40.20,41.07,38895183.00
09/06/2011,40.98,40.59,40.54,41.24,30084305.00
10/06/2011,41.05,40.59,40.10,41.50,48547057.00
13/06/2011,41.67,41.29,40.72,41.82,31768310.00
14/06/2011,41.61,42.13,41.48,42.44,32110148.00
15/06/2011,40.68,41.02,40.25,41.40,37337308.00
16/06/2011,40.36,40.63,39.70,40.71,50321135.00
17/06/2011,40.80,40.85,40.54,41.06,32023979.00
20/06/2011,40.48,40.50,40.12,40.81,21568823.00
21/06/2011,40.91,40.68,40.25,41.23,34244084.00
22/06/2011,40.69,40.67,40.48,41.53,27317060.00
23/06/2011,40.07,40.12,39.62,40.25,48316522.00
24/06/2011,39.49,40.05,39.44,40.18,36143032.00
27/06/2011,39.88,39.40,39.33,40.11,30639635.00
28/06/2011,39.54,40.07,39.24,40.07,41558662.00
29/06/2011,40.45,40.04,39.92,40.56,44783465.00
30/06/2011,40.94,40.72,40.37,41.07,28002025.00
01/07/2011,41.58,40.81,40.77,41.72,32136736.00
05/07/2011,41.03,41.51,40.97,41.51,23811209.00
06/07/2011,40.56,40.59,40.18,40.65,23868334.00
07/07/2011,41.32,41.19,41.10,41.79,28554303.00
08/07/2011,40.74,40.70,40.56,40.97,20682965.00
11/07/2011,39.43,40.19,39.29,40.22,38327919.00
12/07/2011,39.39,39.24,39.24,40.12,33808210.00
13/07/2011,39.62,39.67,39.41,40.37,34020567.00
14/07/2011,40.35,41.18,40.29,41.24,65336261.00
15/07/2011,39.98,40.61,39.50,40.75,46553295.00
18/07/2011,39.83,39.79,38.93,40.00,47604249.00
19/07/2011,40.39,39.92,39.71,40.49,34844494.00
20/07/2011,40.96,40.69,40.62,41.36,31250813.00
21/07/2011,42.29,41.57,41.23,42.55,45554055.00
22/07/2011,42.19,42.27,41.76,42.32,19986046.00
25/07/2011,41.69,41.52,41.29,41.91,22531003.00
26/07/2011,41.44,41.50,41.29,41.79,24354927.00
27/07/2011,40.67,41.20,40.59,41.40,32364601.00
28/07/2011,40.68,40.69,40.62,41.24,23370785.00
29/07/2011,40.45,40.24,39.90,40.75,37795986.00
01/08/2011,40.44,41.16,39.96,41.37,34042409.00
02/08/2011,39.84,40.10,39.84,40.38,42118933.00
03/08/2011,39.90,39.76,39.35,40.02,41110031.00
04/08/2011,37.92,39.31,37.82,39.59,59938092.00
05/08/2011,37.60,38.30,36.72,38.75,85512270.00
08/08/2011,34.06,36.23,33.69,37.72,107650301.00
09/08/2011,36.40,35.38,33.69,36.59,78985631.00
10/08/2011,34.37,35.52,33.98,35.85,83975624.00
11/08/2011,36.69,34.63,34.63,37.30,69583435.00
12/08/2011,35.91,37.13,35.58,37.85,44082499.00
15/08/2011,36.88,36.53,36.39,37.14,34830097.00
16/08/2011,36.03,36.27,35.77,36.57,42272563.00
17/08/2011,36.57,36.46,36.32,37.26,30131313.00
18/08/2011,35.19,35.27,34.50,35.47,57139173.00
19/08/2011,34.35,34.76,34.26,35.50,52962310.00
22/08/2011,33.41,35.12,33.35,35.18,50971319.00
23/08/2011,34.78,33.29,32.31,34.80,55809435.00
24/08/2011,35.83,34.82,34.68,36.01,41963837.00
25/08/2011,35.72,37.79,35.42,38.57,55387550.00
26/08/2011,36.21,35.28,34.82,36.48,35115667.00
29/08/2011,37.64,36.82,36.47,37.64,27945757.00
30/08/2011,37.06,37.40,36.75,37.72,28826266.00
31/08/2011,37.56,37.42,37.22,38.03,30051400.00
01/09/2011,36.30,37.62,36.29,37.82,36865259.00
02/09/2011,34.63,35.06,34.51,35.25,41677229.00
06/09/2011,33.44,33.11,32.78,33.50,57081174.00
07/09/2011,34.82,34.10,33.87,34.98,36145887.00
08/09/2011,33.51,34.44,33.44,34.91,44815207.00
09/09/2011,32.08,33.08,31.93,33.20,67195566.00
12/09/2011,32.42,31.35,31.21,32.42,53381750.00
13/09/2011,32.49,32.81,32.17,33.41,50142208.00
14/09/2011,32.80,32.73,31.86,33.19,44446740.00
15/09/2011,33.81,33.37,33.13,33.82,35848788.00
16/09/2011,33.43,34.05,33.02,34.27,52687591.00
19/09/2011,32.49,32.69,32.13,32.89,33160246.00
20/09/2011,32.25,32.77,32.24,32.80,34089368.00
21/09/2011,30.34,32.23,30.26,32.45,57429559.00
22/09/2011,29.27,29.35,28.53,29.63,86290439.00
23/09/2011,29.59,28.96,28.86,29.80,51731259.00
26/09/2011,31.65,30.06,29.96,31.81,58696019.00
27/09/2011,31.57,32.62,31.25,33.13,58242837.00
28/09/2011,30.47,31.62,30.42,32.00,38725834.00
29/09/2011,31.39,31.58,30.44,32.11,51015757.00
30/09/2011,30.12,30.74,30.11,30.95,42436947.00
03/10/2011,28.65,30.03,28.64,30.70,51002691.00
04/10/2011,30.26,28.25,27.85,30.43,69815353.00
05/10/2011,30.84,30.23,29.40,31.17,51117106.00
06/10/2011,32.38,30.71,30.42,32.46,53216608.00
07/10/2011,30.70,32.58,30.65,32.61,49326167.00
10/10/2011,32.30,31.60,31.58,32.32,37324743.00
11/10/2011,32.30,31.98,31.41,32.68,38169186.00
12/10/2011,33.20,32.76,32.69,33.87,55462460.00
13/10/2011,31.60,32.45,30.92,32.49,78838174.00
14/10/2011,31.89,31.87,31.40,32.32,51905068.00
17/10/2011,31.04,31.64,30.97,32.09,40869712.00
18/10/2011,32.87,31.36,31.14,33.42,64392307.00
19/10/2011,32.25,32.77,32.03,34.01,50121949.00
20/10/2011,33.13,32.32,31.67,33.19,41662534.00
